cattle-id,price,age,color,breed,weight
BLF1118,91000,2.5 years,Red,Red Chittagong,217 kg
BLFS232,186000,2.5 years,Non Red,Holstein Friesian Cross,469 kg
BLF960,118000,2.5 years,Red,Local,282 kg
BLF1091,118000,2.5 years,Red,Local,283 kg
BLF1324,125000,2.5 years,Red,Red Chittagong,298 kg
BLF1203,92000,2.5 years,Non Red,Local,226 kg
BLF1019,105000,2.5 years,Red,Sindhi,255 kg
BLF1145,121000,2.5 years,Red,Local,293 kg
BLF866,120000,2.5 years,Red,Local,290 kg
BLF1261,109000,2.5 years,Red,Red Chittagong,260 kg
BLFS235,209000,3 years,Non Red,Holstein Friesian Cross,526 kg
BLF948,131000,2.5 years,Red,Local,315 kg
BLF1048,121000,2.5 years,Red,Sahiwal,292 kg
BLF851,164000,3 years,Red,Sahiwal,395 kg
BLF1234,111000,2.5 years,Red,Local,270 kg
BLF1042,104000,3 years,Non Red,Local,255 kg
BLF1093,141000,3 years,Red,Local,345 kg
BLF979,92000,2.5 years,Non Red,Local,227 kg
BLF1015,107000,2.5 years,Non Red,Local,264 kg
BLF1262,89000,2.5 years,Red,Sindhi,215 kg
BLF941,87000,2.5 years,Red,Red Chittagong,212 kg
BLF1181,104000,2.5 years,Red,Local,251 kg
BLF1229,82000,2.5 years,Red,Local,197 kg
BLFS209,184000,3 years,Non Red,Holstein Friesian Cross,462 kg
BLF1082,127000,3 years,Red,Local,307 kg
BLF1075,117000,2.5 years,Red,Local,282 kg
BLF959,97000,2.5 years,Non Red,Local,239 kg
BLF1310,101000,2.5 years,Red,Local,243 kg
BLF1125,98000,3 years,Red,Local,236 kg
BLF1101,99000,2.5 years,Red,Red Chittagong,236 kg
BLF1156,114000,2.5 years,Red,Sindhi,276 kg
BLF1195,102000,4 years,Red,Local,246 kg
BLF1104,99000,2.5 years,Red,Local,238 kg
BLF1312,80000,2.5 years,Red,Local,191 kg
BLF857,168000,3 years,Red,Sahiwal,399 kg
BLFB2,122000,2.5 years,Red,Local,293 kg
BLF925,110000,2.5 years,Red,Local,269 kg
BLFB288,146000,2 years,Non Red,Holstein Friesian Cross,366 kg
BLF1146,99000,2.5 years,Red,Local,240 kg
BLF973,95000,3 years,Red,Red Chittagong,227 kg
BLF1099,88000,2.5 years,Red,Local,212 kg
BLF1032,93000,2.5 years,Red,Local,230 kg
BLF907,110000,2.5 years,Red,Local,267 kg
BLF1037,91000,2.5 years,Non Red,Local,223 kg
BLF939,109000,2.5 years,Red,Local,263 kg
BLFB320,121000,3 years,Red,Local,292 kg
BLF986,91000,2.5 years,Non Red,Local,222 kg
BLF1094,99000,2.5 years,Red,Sindhi,242 kg
BLF1020,129000,2.5 years,Red,Local,312 kg
BLF863,175000,2.5 years,Red,Sahiwal,418 kg
BLF943,134000,2.5 years,Red,Red Chittagong,320 kg
